v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_45,grad6-CrMo measure 9 indent 5,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,268.84994103211363,12.68601210392071,0.3415437,61020.48,1.0
data_46,grad6-CrMo measure 10 indent 1,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,265.9998428181546,13.141188847864504,0.40138320000000005,65254.5,1.0
data_47,grad6-CrMo measure 10 indent 2,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,247.65743464035185,12.26742109591725,0.40138320000000005,65254.5,1.0
data_48,grad6-CrMo measure 10 indent 3,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,260.5639790287878,12.04602932634753,0.40138320000000005,65254.5,1.0
data_49,grad6-CrMo measure 10 indent 4,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,263.22032293322184,12.541976347612337,0.40138320000000005,65254.5,1.0
data_50,grad6-CrMo measure 10 indent 5,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,259.6487753771353,11.841173565638254,0.40138320000000005,65254.5,1.0
data_51,grad6-CrMo measure 11 indent 1,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,263.2405332597553,12.717038341062247,0.3289553,59752.76,1.0
data_52,grad6-CrMo measure 11 indent 2,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,255.35622876746342,11.792151606778935,0.3289553,59752.76,1.0
data_53,grad6-CrMo measure 11 indent 3,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,268.6042221143048,12.48101758406118,0.3289553,59752.76,1.0
data_54,grad6-CrMo measure 11 indent 4,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,258.59374684484953,11.27936416699359,0.3289553,59752.76,1.0
data_55,grad6-CrMo measure 11 indent 5,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,0,0,0.3289553,59752.76,1.0
data_56,grad6-NbTi measure 1 indent 1,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,274.28907564984263,11.768843617540313,0.3283698,57888.38,1.0
data_57,grad6-NbTi measure 1 indent 2,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,250.33517040251667,11.327024417724374,0.3283698,57888.38,1.0
data_58,grad6-NbTi measure 1 indent 3,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,270.86392791595205,12.60466446631489,0.3283698,57888.38,1.0
