,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_1241,grad16-NbZrCrMo measure 10 indent 1,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,10.889616026260965
data_1243,grad16-NbZrCrMo measure 10 indent 3,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,10.869230953430936
data_1244,grad16-NbZrCrMo measure 10 indent 4,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,10.899788167391458
data_1246,grad16-NbZrCrMo measure 11 indent 1,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,11.119998048717516
data_1247,grad16-NbZrCrMo measure 11 indent 2,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,10.956350391996533
data_1248,grad16-NbZrCrMo measure 11 indent 3,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,11.102272274931181
data_1249,grad16-NbZrCrMo measure 11 indent 4,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,11.172750412867387
data_1250,grad16-NbZrCrMo measure 11 indent 5,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,10.89411379256293
data_1251,grad16-NbZrCrMo measure 12 indent 1,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,11.139094495225855
data_1252,grad16-NbZrCrMo measure 12 indent 2,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,10.985817239215015
data_1253,grad16-NbZrCrMo measure 12 indent 3,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,11.056646870858764
data_1254,grad16-NbZrCrMo measure 12 indent 4,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,10.893752924988856
data_1255,grad16-NbZrCrMo measure 12 indent 5,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,11.257832833875147
data_1256,grad16-Ti measure 1 indent 1,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,7.466964238752429
data_1257,grad16-Ti measure 1 indent 2,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,7.425588411636658
data_1258,grad16-Ti measure 1 indent 3,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,7.245654546799116
data_1259,grad16-Ti measure 1 indent 4,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,7.331973550250003
data_1260,grad16-Ti measure 1 indent 5,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,7.3886462149311765
data_1261,grad16-Ti measure 2 indent 1,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,8.22896761744402
data_1262,grad16-Ti measure 2 indent 2,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,8.07830949040898
data_1263,grad16-Ti measure 2 indent 3,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,7.60027090144128
data_1264,grad16-Ti measure 2 indent 4,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,7.828012741517455
data_1265,grad16-Ti measure 2 indent 5,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,8.249791763675026
data_1266,grad16-Ti measure 3 indent 1,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,8.233498493050792
data_1267,grad16-Ti measure 3 indent 2,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,8.970813991314085
data_1268,grad16-Ti measure 3 indent 3,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,8.783928888284807
data_1269,grad16-Ti measure 3 indent 4,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,8.223729644274664
data_1270,grad16-Ti measure 3 indent 5,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,9.039695488423831
data_1271,grad16-Ti measure 4 indent 1,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,10.538702636340616
data_1272,grad16-Ti measure 4 indent 2,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,9.104369100413987
data_1273,grad16-Ti measure 4 indent 3,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,9.928109899518535
data_1274,grad16-Ti measure 4 indent 4,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,10.139205373215134
data_1275,grad16-Ti measure 4 indent 5,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,9.510919980078226
data_1276,grad16-Ti measure 5 indent 1,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,11.111402281880842
data_1277,grad16-Ti measure 5 indent 2,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,10.772191148587387
data_1278,grad16-Ti measure 5 indent 3,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,10.47758084123864
data_1279,grad16-Ti measure 5 indent 4,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,11.022857075909924
data_1280,grad16-Ti measure 5 indent 5,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,10.247012481909039
data_1281,grad16-Ti measure 6 indent 1,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,10.801130898529095
data_1282,grad16-Ti measure 6 indent 2,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,11.583883906695931
data_1283,grad16-Ti measure 6 indent 3,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,11.86537610026836
data_1284,grad16-Ti measure 6 indent 4,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,12.253595876510152
data_1285,grad16-Ti measure 6 indent 5,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,12.600286261403355
data_1286,grad16-Ti measure 7 indent 1,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,12.202913908619257
data_1287,grad16-Ti measure 7 indent 2,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,11.21020401187329
data_1288,grad16-Ti measure 7 indent 3,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,12.820322844337706
data_1289,grad16-Ti measure 7 indent 4,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,12.049352037742256
data_1290,grad16-Ti measure 7 indent 5,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,11.799781688097841
data_1291,grad16-Ti measure 8 indent 1,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,13.162983387157936
data_1292,grad16-Ti measure 8 indent 2,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,13.477276725318902
data_1293,grad16-Ti measure 8 indent 3,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,12.44633702404783
data_1294,grad16-Ti measure 8 indent 4,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,13.285969186787142
data_1295,grad16-Ti measure 8 indent 5,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,11.705043950145969
data_1296,grad16-Ti measure 9 indent 1,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,12.257912953470937
data_1297,grad16-Ti measure 9 indent 2,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,13.356329354335825
data_1298,grad16-Ti measure 9 indent 3,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,12.259895912278795
data_1299,grad16-Ti measure 9 indent 4,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,14.012846772568974
data_1300,grad16-Ti measure 9 indent 5,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,12.554931457797482
data_1301,grad16-Ti measure 10 indent 1,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,11.407813040018043
data_1302,grad16-Ti measure 10 indent 2,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,11.332900061001858
data_1303,grad16-Ti measure 10 indent 3,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,11.2676560632747
data_1306,grad16-Ti measure 11 indent 1,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,9.055671974117274
data_1307,grad16-Ti measure 11 indent 2,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,9.050846358113013
data_1309,grad16-Ti measure 11 indent 4,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,9.068923740408762
data_1310,grad16-Ti measure 11 indent 5,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,9.05868399761135
data_1311,grad16-Ti measure 12 indent 1,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,9.157078624704065
data_1312,grad16-Ti measure 12 indent 2,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,9.312557983653598
data_1313,grad16-Ti measure 12 indent 3,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,9.423530343502149
data_1314,grad16-Ti measure 12 indent 4,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,9.159854066331496
data_1315,grad16-Ti measure 12 indent 5,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,9.352793343912845
data_1316,grad16-Ti measure 13 indent 1,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,9.42818338721315
data_1317,grad16-Ti measure 13 indent 2,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,9.728026729420591
data_1318,grad16-Ti measure 13 indent 3,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,9.650282603122433
data_1319,grad16-Ti measure 13 indent 4,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,9.960945995915633
data_1320,grad16-Ti measure 13 indent 5,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,9.54041547203029
data_1322,grad17-Zr measure 1 indent 2,70.73,13.55,0.0,0.0,15.72,75.65,14.76,0.0,0.0,9.58,7.535291809500037
data_1323,grad17-Zr measure 1 indent 3,70.73,13.55,0.0,0.0,15.72,75.65,14.76,0.0,0.0,9.58,7.547252922879271
data_1324,grad17-Zr measure 1 indent 4,70.73,13.55,0.0,0.0,15.72,75.65,14.76,0.0,0.0,9.58,7.589659381997819
data_1325,grad17-Zr measure 1 indent 5,70.73,13.55,0.0,0.0,15.72,75.65,14.76,0.0,0.0,9.58,7.596001109913162
data_1326,grad17-Zr measure 2 indent 1,66.86,14.9,0.0,0.0,18.25,72.33,16.41,0.0,0.0,11.25,7.489968541986197
data_1327,grad17-Zr measure 2 indent 2,66.86,14.9,0.0,0.0,18.25,72.33,16.41,0.0,0.0,11.25,7.449179876046213
data_1328,grad17-Zr measure 2 indent 3,66.86,14.9,0.0,0.0,18.25,72.33,16.41,0.0,0.0,11.25,7.748050926861446
data_1329,grad17-Zr measure 2 indent 4,66.86,14.9,0.0,0.0,18.25,72.33,16.41,0.0,0.0,11.25,7.738689731198903
data_1330,grad17-Zr measure 2 indent 5,66.86,14.9,0.0,0.0,18.25,72.33,16.41,0.0,0.0,11.25,7.548963045189743
data_1331,grad17-Zr measure 3 indent 1,63.38,15.94,0.0,0.0,20.68,69.34,17.76,0.0,0.0,12.9,7.052899242978439
data_1332,grad17-Zr measure 3 indent 2,63.38,15.94,0.0,0.0,20.68,69.34,17.76,0.0,0.0,12.9,7.1614194573868915
data_1333,grad17-Zr measure 3 indent 3,63.38,15.94,0.0,0.0,20.68,69.34,17.76,0.0,0.0,12.9,7.089861211422669
data_1334,grad17-Zr measure 3 indent 4,63.38,15.94,0.0,0.0,20.68,69.34,17.76,0.0,0.0,12.9,7.037965748533237
data_1335,grad17-Zr measure 3 indent 5,63.38,15.94,0.0,0.0,20.68,69.34,17.76,0.0,0.0,12.9,7.102651055375549
data_1336,grad17-Zr measure 4 indent 1,59.45,17.21,0.0,0.0,23.34,65.85,19.42,0.0,0.0,14.74,6.405818094303263
data_1337,grad17-Zr measure 4 indent 2,59.45,17.21,0.0,0.0,23.34,65.85,19.42,0.0,0.0,14.74,6.433197359614972
data_1338,grad17-Zr measure 4 indent 3,59.45,17.21,0.0,0.0,23.34,65.85,19.42,0.0,0.0,14.74,6.368281601373196
data_1339,grad17-Zr measure 4 indent 4,59.45,17.21,0.0,0.0,23.34,65.85,19.42,0.0,0.0,14.74,6.278661313767503
data_1340,grad17-Zr measure 4 indent 5,59.45,17.21,0.0,0.0,23.34,65.85,19.42,0.0,0.0,14.74,6.390376243663048
data_1341,grad17-Zr measure 5 indent 1,55.62,18.41,0.0,0.0,25.97,62.37,21.03,0.0,0.0,16.6,6.862847579866395
data_1342,grad17-Zr measure 5 indent 2,55.62,18.41,0.0,0.0,25.97,62.37,21.03,0.0,0.0,16.6,6.716393427264261
data_1343,grad17-Zr measure 5 indent 3,55.62,18.41,0.0,0.0,25.97,62.37,21.03,0.0,0.0,16.6,6.756464037853415
data_1344,grad17-Zr measure 5 indent 4,55.62,18.41,0.0,0.0,25.97,62.37,21.03,0.0,0.0,16.6,6.7936554777475395
data_1345,grad17-Zr measure 5 indent 5,55.62,18.41,0.0,0.0,25.97,62.37,21.03,0.0,0.0,16.6,6.89778105351269
data_1346,grad17-Zr measure 6 indent 1,51.73,19.5,0.0,0.0,28.77,58.79,22.57,0.0,0.0,18.64,7.311958979594687
data_1347,grad17-Zr measure 6 indent 2,51.73,19.5,0.0,0.0,28.77,58.79,22.57,0.0,0.0,18.64,7.191760517819247
data_1348,grad17-Zr measure 6 indent 3,51.73,19.5,0.0,0.0,28.77,58.79,22.57,0.0,0.0,18.64,7.2714530417096785
data_1349,grad17-Zr measure 6 indent 4,51.73,19.5,0.0,0.0,28.77,58.79,22.57,0.0,0.0,18.64,7.285602212336447
data_1350,grad17-Zr measure 6 indent 5,51.73,19.5,0.0,0.0,28.77,58.79,22.57,0.0,0.0,18.64,7.207732880698688
data_1351,grad17-Zr measure 7 indent 1,47.97,20.18,0.0,0.0,31.85,55.35,23.71,0.0,0.0,20.94,7.763972869680971
data_1352,grad17-Zr measure 7 indent 2,47.97,20.18,0.0,0.0,31.85,55.35,23.71,0.0,0.0,20.94,7.69624949027023
data_1353,grad17-Zr measure 7 indent 3,47.97,20.18,0.0,0.0,31.85,55.35,23.71,0.0,0.0,20.94,7.80430549595654
data_1354,grad17-Zr measure 7 indent 4,47.97,20.18,0.0,0.0,31.85,55.35,23.71,0.0,0.0,20.94,7.701998549588349
data_1355,grad17-Zr measure 7 indent 5,47.97,20.18,0.0,0.0,31.85,55.35,23.71,0.0,0.0,20.94,7.932241133484251
data_1356,grad17-Zr measure 8 indent 1,43.93,21.13,0.0,0.0,34.94,51.46,25.21,0.0,0.0,23.33,8.441040415805912
data_1359,grad17-Zr measure 8 indent 4,43.93,21.13,0.0,0.0,34.94,51.46,25.21,0.0,0.0,23.33,8.410517699179184
data_1360,grad17-Zr measure 8 indent 5,43.93,21.13,0.0,0.0,34.94,51.46,25.21,0.0,0.0,23.33,8.407006264448404
data_1361,grad17-Zr measure 9 indent 1,40.02,22.09,0.0,0.0,37.89,47.58,26.75,0.0,0.0,25.68,9.223453076696133
data_1362,grad17-Zr measure 9 indent 2,40.02,22.09,0.0,0.0,37.89,47.58,26.75,0.0,0.0,25.68,8.957397724533424
data_1363,grad17-Zr measure 9 indent 3,40.02,22.09,0.0,0.0,37.89,47.58,26.75,0.0,0.0,25.68,8.996637611480683
data_1364,grad17-Zr measure 9 indent 4,40.02,22.09,0.0,0.0,37.89,47.58,26.75,0.0,0.0,25.68,8.727815488283978
data_1366,grad17-Zr measure 10 indent 1,36.08,22.89,0.0,0.0,41.04,43.58,28.16,0.0,0.0,28.26,9.390739453123487
data_1367,grad17-Zr measure 10 indent 2,36.08,22.89,0.0,0.0,41.04,43.58,28.16,0.0,0.0,28.26,9.633576002846151
data_1368,grad17-Zr measure 10 indent 3,36.08,22.89,0.0,0.0,41.04,43.58,28.16,0.0,0.0,28.26,9.609451486335514
data_1369,grad17-Zr measure 10 indent 4,36.08,22.89,0.0,0.0,41.04,43.58,28.16,0.0,0.0,28.26,9.338945769413964
data_1370,grad17-Zr measure 10 indent 5,36.08,22.89,0.0,0.0,41.04,43.58,28.16,0.0,0.0,28.26,9.516763112626679
data_1371,grad17-Zr measure 11 indent 1,32.73,23.47,0.0,0.0,43.79,40.11,29.3,0.0,0.0,30.59,9.891128313758575
data_1372,grad17-Zr measure 11 indent 2,32.73,23.47,0.0,0.0,43.79,40.11,29.3,0.0,0.0,30.59,9.750430127000143
data_1373,grad17-Zr measure 11 indent 3,32.73,23.47,0.0,0.0,43.79,40.11,29.3,0.0,0.0,30.59,9.910459800269685
data_1375,grad17-Zr measure 11 indent 5,32.73,23.47,0.0,0.0,43.79,40.11,29.3,0.0,0.0,30.59,9.829756079637127
data_1376,grad17-NbCr measure 1 indent 1,30.82,23.98,0.0,0.0,45.2,38.05,30.15,0.0,0.0,31.81,10.305555382468789
data_1378,grad17-NbCr measure 1 indent 3,30.82,23.98,0.0,0.0,45.2,38.05,30.15,0.0,0.0,31.81,10.338657386047903
data_1379,grad17-NbCr measure 1 indent 4,30.82,23.98,0.0,0.0,45.2,38.05,30.15,0.0,0.0,31.81,10.13419818236903
data_1380,grad17-NbCr measure 1 indent 5,30.82,23.98,0.0,0.0,45.2,38.05,30.15,0.0,0.0,31.81,10.085301537255297
data_1381,grad17-NbCr measure 2 indent 1,27.44,24.48,0.0,0.0,48.08,34.39,31.25,0.0,0.0,34.36,10.814846427482522
data_1382,grad17-NbCr measure 2 indent 2,27.44,24.48,0.0,0.0,48.08,34.39,31.25,0.0,0.0,34.36,10.5680488608998
data_1383,grad17-NbCr measure 2 indent 3,27.44,24.48,0.0,0.0,48.08,34.39,31.25,0.0,0.0,34.36,10.697836353291276
data_1384,grad17-NbCr measure 2 indent 4,27.44,24.48,0.0,0.0,48.08,34.39,31.25,0.0,0.0,34.36,10.725330673030184
data_1385,grad17-NbCr measure 2 indent 5,27.44,24.48,0.0,0.0,48.08,34.39,31.25,0.0,0.0,34.36,10.494020049257873
data_1386,grad17-NbCr measure 3 indent 1,24.46,24.99,0.0,0.0,50.55,31.07,32.33,0.0,0.0,36.6,10.946853728841125
data_1388,grad17-NbCr measure 3 indent 3,24.46,24.99,0.0,0.0,50.55,31.07,32.33,0.0,0.0,36.6,10.990617133460358
data_1389,grad17-NbCr measure 3 indent 4,24.46,24.99,0.0,0.0,50.55,31.07,32.33,0.0,0.0,36.6,11.213771280554646
data_1390,grad17-NbCr measure 3 indent 5,24.46,24.99,0.0,0.0,50.55,31.07,32.33,0.0,0.0,36.6,11.177461993633749
data_1391,grad17-NbCr measure 4 indent 1,21.59,25.44,0.0,0.0,52.97,27.79,33.35,0.0,0.0,38.86,11.427980759998153
data_1392,grad17-NbCr measure 4 indent 2,21.59,25.44,0.0,0.0,52.97,27.79,33.35,0.0,0.0,38.86,11.471128259000034
data_1394,grad17-NbCr measure 4 indent 4,21.59,25.44,0.0,0.0,52.97,27.79,33.35,0.0,0.0,38.86,11.349553394275654
data_1395,grad17-NbCr measure 4 indent 5,21.59,25.44,0.0,0.0,52.97,27.79,33.35,0.0,0.0,38.86,11.328940898527556
data_1396,grad17-NbCr measure 5 indent 1,19.21,25.89,0.0,0.0,54.9,24.99,34.3,0.0,0.0,40.71,11.669560572200993
data_1397,grad17-NbCr measure 5 indent 2,19.21,25.89,0.0,0.0,54.9,24.99,34.3,0.0,0.0,40.71,11.707317302055472
data_1398,grad17-NbCr measure 5 indent 3,19.21,25.89,0.0,0.0,54.9,24.99,34.3,0.0,0.0,40.71,11.924876013403283
data_1399,grad17-NbCr measure 5 indent 4,19.21,25.89,0.0,0.0,54.9,24.99,34.3,0.0,0.0,40.71,11.828380374933136
data_1400,grad17-NbCr measure 5 indent 5,19.21,25.89,0.0,0.0,54.9,24.99,34.3,0.0,0.0,40.71,11.677645220559844
data_1401,grad17-NbCr measure 6 indent 1,16.55,26.56,0.0,0.0,56.88,21.77,35.58,0.0,0.0,42.65,12.211459293736688
data_1402,grad17-NbCr measure 6 indent 2,16.55,26.56,0.0,0.0,56.88,21.77,35.58,0.0,0.0,42.65,6.476911698398363
data_1403,grad17-NbCr measure 6 indent 3,16.55,26.56,0.0,0.0,56.88,21.77,35.58,0.0,0.0,42.65,7.309234586416352
data_1404,grad17-NbCr measure 6 indent 4,16.55,26.56,0.0,0.0,56.88,21.77,35.58,0.0,0.0,42.65,12.06994660190335
data_1406,grad17-NbCr measure 7 indent 1,14.7,27.04,0.0,0.0,58.26,19.48,36.5,0.0,0.0,44.02,12.392815297393057
data_1407,grad17-NbCr measure 7 indent 2,14.7,27.04,0.0,0.0,58.26,19.48,36.5,0.0,0.0,44.02,12.430041249707527
data_1408,grad17-NbCr measure 7 indent 3,14.7,27.04,0.0,0.0,58.26,19.48,36.5,0.0,0.0,44.02,12.54537997696962
data_1409,grad17-NbCr measure 7 indent 4,14.7,27.04,0.0,0.0,58.26,19.48,36.5,0.0,0.0,44.02,12.35042580261099
data_1410,grad17-NbCr measure 7 indent 5,14.7,27.04,0.0,0.0,58.26,19.48,36.5,0.0,0.0,44.02,12.427441192626523
data_1411,grad17-NbCr measure 8 indent 1,12.61,27.72,0.0,0.0,59.67,16.84,37.72,0.0,0.0,45.44,12.901210306846
data_1412,grad17-NbCr measure 8 indent 2,12.61,27.72,0.0,0.0,59.67,16.84,37.72,0.0,0.0,45.44,12.75319279135012
data_1413,grad17-NbCr measure 8 indent 3,12.61,27.72,0.0,0.0,59.67,16.84,37.72,0.0,0.0,45.44,12.837412214284267
data_1414,grad17-NbCr measure 8 indent 4,12.61,27.72,0.0,0.0,59.67,16.84,37.72,0.0,0.0,45.44,13.172555672030887
data_1415,grad17-NbCr measure 8 indent 5,12.61,27.72,0.0,0.0,59.67,16.84,37.72,0.0,0.0,45.44,12.476584080801876
data_1416,grad17-NbCr measure 9 indent 1,10.88,28.43,0.0,0.0,60.68,14.62,38.91,0.0,0.0,46.47,13.051178310270211
data_1417,grad17-NbCr measure 9 indent 2,10.88,28.43,0.0,0.0,60.68,14.62,38.91,0.0,0.0,46.47,12.861856410396218
data_1418,grad17-NbCr measure 9 indent 3,10.88,28.43,0.0,0.0,60.68,14.62,38.91,0.0,0.0,46.47,13.200616832983146
data_1419,grad17-NbCr measure 9 indent 4,10.88,28.43,0.0,0.0,60.68,14.62,38.91,0.0,0.0,46.47,12.97642873358417
data_1420,grad17-NbCr measure 9 indent 5,10.88,28.43,0.0,0.0,60.68,14.62,38.91,0.0,0.0,46.47,12.997658620295768
data_1422,grad17-NbCr measure 10 indent 2,9.11,29.4,0.0,0.0,61.49,12.3,40.41,0.0,0.0,47.29,12.816612764200478
data_1423,grad17-NbCr measure 10 indent 3,9.11,29.4,0.0,0.0,61.49,12.3,40.41,0.0,0.0,47.29,13.314135558570403
data_1424,grad17-NbCr measure 10 indent 4,9.11,29.4,0.0,0.0,61.49,12.3,40.41,0.0,0.0,47.29,12.93855994691882
data_1425,grad17-NbCr measure 10 indent 5,9.11,29.4,0.0,0.0,61.49,12.3,40.41,0.0,0.0,47.29,12.740251310665196
data_1426,grad18-Zr measure 1 indent 1,67.23,0.0,13.59,0.0,19.18,72.72,0.0,15.46,0.0,11.82,7.364938650615575
data_1427,grad18-Zr measure 1 indent 2,67.23,0.0,13.59,0.0,19.18,72.72,0.0,15.46,0.0,11.82,7.349127551718629
data_1428,grad18-Zr measure 1 indent 3,67.23,0.0,13.59,0.0,19.18,72.72,0.0,15.46,0.0,11.82,7.344848490062963
data_1429,grad18-Zr measure 1 indent 4,67.23,0.0,13.59,0.0,19.18,72.72,0.0,15.46,0.0,11.82,7.212565792807374
data_1430,grad18-Zr measure 1 indent 5,67.23,0.0,13.59,0.0,19.18,72.72,0.0,15.46,0.0,11.82,7.443512494108935
data_1431,grad18-Zr measure 2 indent 1,63.13,0.0,15.1,0.0,21.77,69.06,0.0,17.37,0.0,13.57,8.080924292349277
data_1432,grad18-Zr measure 2 indent 2,63.13,0.0,15.1,0.0,21.77,69.06,0.0,17.37,0.0,13.57,7.989298055438934
data_1433,grad18-Zr measure 2 indent 3,63.13,0.0,15.1,0.0,21.77,69.06,0.0,17.37,0.0,13.57,8.000849639730522
data_1434,grad18-Zr measure 2 indent 4,63.13,0.0,15.1,0.0,21.77,69.06,0.0,17.37,0.0,13.57,7.880163229022237
data_1435,grad18-Zr measure 2 indent 5,63.13,0.0,15.1,0.0,21.77,69.06,0.0,17.37,0.0,13.57,7.999911513568318
data_1436,grad18-Zr measure 3 indent 1,58.83,0.0,16.5,0.0,24.67,65.19,0.0,19.23,0.0,15.58,8.840215555508003
data_1437,grad18-Zr measure 3 indent 2,58.83,0.0,16.5,0.0,24.67,65.19,0.0,19.23,0.0,15.58,8.773881900121108
data_1438,grad18-Zr measure 3 indent 3,58.83,0.0,16.5,0.0,24.67,65.19,0.0,19.23,0.0,15.58,8.614457003685512
data_1439,grad18-Zr measure 3 indent 4,58.83,0.0,16.5,0.0,24.67,65.19,0.0,19.23,0.0,15.58,8.568751125656936
data_1440,grad18-Zr measure 3 indent 5,58.83,0.0,16.5,0.0,24.67,65.19,0.0,19.23,0.0,15.58,8.650565014275978
data_1441,grad18-Zr measure 4 indent 1,54.4,0.0,17.93,0.0,27.67,61.1,0.0,21.18,0.0,17.72,9.17153727066812
data_1442,grad18-Zr measure 4 indent 2,54.4,0.0,17.93,0.0,27.67,61.1,0.0,21.18,0.0,17.72,9.494001471970869
data_1443,grad18-Zr measure 4 indent 3,54.4,0.0,17.93,0.0,27.67,61.1,0.0,21.18,0.0,17.72,9.455960688105597
data_1444,grad18-Zr measure 4 indent 4,54.4,0.0,17.93,0.0,27.67,61.1,0.0,21.18,0.0,17.72,9.330906325288284
data_1445,grad18-Zr measure 4 indent 5,54.4,0.0,17.93,0.0,27.67,61.1,0.0,21.18,0.0,17.72,9.182548868433125
data_1446,grad18-Zr measure 5 indent 1,50.23,0.0,19.25,0.0,30.53,57.16,0.0,23.04,0.0,19.8,10.122940589374807
data_1447,grad18-Zr measure 5 indent 2,50.23,0.0,19.25,0.0,30.53,57.16,0.0,23.04,0.0,19.8,9.866229820271466
data_1448,grad18-Zr measure 5 indent 3,50.23,0.0,19.25,0.0,30.53,57.16,0.0,23.04,0.0,19.8,10.36270512434758
data_1449,grad18-Zr measure 5 indent 4,50.23,0.0,19.25,0.0,30.53,57.16,0.0,23.04,0.0,19.8,10.05872167258174
data_1450,grad18-Zr measure 5 indent 5,50.23,0.0,19.25,0.0,30.53,57.16,0.0,23.04,0.0,19.8,10.24009034760292
data_1452,grad18-Zr measure 6 indent 2,47.07,0.0,20.29,0.0,32.63,54.1,0.0,24.53,0.0,21.38,10.710979956951979
data_1453,grad18-Zr measure 6 indent 3,47.07,0.0,20.29,0.0,32.63,54.1,0.0,24.53,0.0,21.38,10.636981228366135
