,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_101,grad6-NbTi measure 10 indent 1,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,8.168426407782743
data_102,grad6-NbTi measure 10 indent 2,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,8.226932664918458
data_103,grad6-NbTi measure 10 indent 3,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,8.372652108979896
data_104,grad6-NbTi measure 10 indent 4,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,8.39944352403247
data_105,grad6-NbTi measure 10 indent 5,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,8.13900484948037
data_106,grad6-NbTi measure 11 indent 1,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,6.7438317956651375
data_107,grad6-NbTi measure 11 indent 2,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,6.6643871615142665
data_108,grad6-NbTi measure 11 indent 3,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,6.05196552441172
data_109,grad6-NbTi measure 11 indent 4,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,6.785676047438984
data_110,grad6-NbTi measure 11 indent 5,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,8.047901417309184
data_111,grad6-NbTi measure 12 indent 1,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,5.747745477673123
data_112,grad6-NbTi measure 12 indent 2,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,6.541500100890597
data_113,grad6-NbTi measure 12 indent 3,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,6.315315562275721
data_114,grad6-NbTi measure 12 indent 4,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,6.615471076160586
data_115,grad6-NbTi measure 12 indent 5,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,6.190684992049032
data_116,grad7-CrMo measure 1 indent 1,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,16.455916920968427
data_117,grad7-CrMo measure 1 indent 2,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,17.09909208566739
data_118,grad7-CrMo measure 1 indent 3,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,16.562341055902984
data_119,grad7-CrMo measure 1 indent 4,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,16.83597846451839
data_120,grad7-CrMo measure 1 indent 5,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,16.65961986867556
data_121,grad7-CrMo measure 2 indent 1,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,16.83634050228534
data_122,grad7-CrMo measure 2 indent 2,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,16.407435789476374
data_123,grad7-CrMo measure 2 indent 3,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,17.53780785891918
data_124,grad7-CrMo measure 2 indent 4,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,16.75568806352996
data_125,grad7-CrMo measure 2 indent 5,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,16.817874649455675
data_126,grad7-CrMo measure 3 indent 1,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,17.257323945467807
data_127,grad7-CrMo measure 3 indent 2,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,17.025567835069715
data_128,grad7-CrMo measure 3 indent 3,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,17.49416304995609
