,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_84,grad6-NbTi measure 6 indent 4,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,204.94175511929558
data_85,grad6-NbTi measure 6 indent 5,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,210.47966910034253
data_86,grad6-NbTi measure 7 indent 1,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,181.95731839960177
data_87,grad6-NbTi measure 7 indent 2,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,175.5336177464557
data_88,grad6-NbTi measure 7 indent 3,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,185.78820944550455
data_89,grad6-NbTi measure 7 indent 4,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,184.39329359391525
data_90,grad6-NbTi measure 7 indent 5,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,186.19751686325668
data_91,grad6-NbTi measure 8 indent 1,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,190.8333573830164
data_92,grad6-NbTi measure 8 indent 2,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,184.54548156297952
data_93,grad6-NbTi measure 8 indent 3,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,177.2047230346282
data_94,grad6-NbTi measure 8 indent 4,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,173.03575153195789
data_95,grad6-NbTi measure 8 indent 5,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,179.2307196093531
data_96,grad6-NbTi measure 9 indent 1,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,164.09542566093566
data_97,grad6-NbTi measure 9 indent 2,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,166.2427540941897
data_98,grad6-NbTi measure 9 indent 3,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,160.87454076137976
data_99,grad6-NbTi measure 9 indent 4,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,155.541787218642
data_100,grad6-NbTi measure 9 indent 5,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,165.56238766745582
data_102,grad6-NbTi measure 10 indent 2,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,140.20074036205554
data_104,grad6-NbTi measure 10 indent 4,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,139.6528680073306
data_105,grad6-NbTi measure 10 indent 5,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,139.48417673674712
data_106,grad6-NbTi measure 11 indent 1,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,107.21332438632476
data_107,grad6-NbTi measure 11 indent 2,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,107.63981675619684
data_108,grad6-NbTi measure 11 indent 3,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,108.0256994017636
data_109,grad6-NbTi measure 11 indent 4,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,108.72860567305986
data_112,grad6-NbTi measure 12 indent 2,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,84.53208664126467
data_113,grad6-NbTi measure 12 indent 3,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,82.86402165212853
data_114,grad6-NbTi measure 12 indent 4,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,84.70172521212362
data_115,grad6-NbTi measure 12 indent 5,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,83.16144361249506
data_116,grad7-CrMo measure 1 indent 1,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,284.2565681728168
data_117,grad7-CrMo measure 1 indent 2,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,294.47503252910514
data_118,grad7-CrMo measure 1 indent 3,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,303.6020574748461
data_119,grad7-CrMo measure 1 indent 4,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,293.45859140650543
data_120,grad7-CrMo measure 1 indent 5,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,282.5758831726969
data_121,grad7-CrMo measure 2 indent 1,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,293.16105316397
data_122,grad7-CrMo measure 2 indent 2,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,299.27270385696073
data_123,grad7-CrMo measure 2 indent 3,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,289.8304960394398
data_124,grad7-CrMo measure 2 indent 4,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,279.9787826683767
data_125,grad7-CrMo measure 2 indent 5,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,298.45532498584555
data_126,grad7-CrMo measure 3 indent 1,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,275.53979858870474
data_127,grad7-CrMo measure 3 indent 2,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,295.57076500156535
data_128,grad7-CrMo measure 3 indent 3,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,278.528937069468
data_129,grad7-CrMo measure 3 indent 4,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,280.0304777665238
data_130,grad7-CrMo measure 3 indent 5,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,263.35239634413165
data_131,grad7-CrMo measure 4 indent 1,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,272.4396505965293
data_132,grad7-CrMo measure 4 indent 2,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,278.5237771218639
data_133,grad7-CrMo measure 4 indent 3,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,284.28793478728454
data_134,grad7-CrMo measure 4 indent 4,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,270.6199310270875
data_135,grad7-CrMo measure 4 indent 5,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,278.8382803379239
data_136,grad7-CrMo measure 5 indent 1,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,285.4080431018568
data_137,grad7-CrMo measure 5 indent 2,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,285.95128482598574
data_138,grad7-CrMo measure 5 indent 3,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,286.5992216374789
data_139,grad7-CrMo measure 5 indent 4,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,282.3334438901435
data_140,grad7-CrMo measure 5 indent 5,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,291.97564126110746
data_141,grad7-CrMo measure 6 indent 1,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,273.40658821240754
data_142,grad7-CrMo measure 6 indent 2,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,272.1768680902461
data_144,grad7-CrMo measure 6 indent 4,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,288.34342462032185
data_145,grad7-CrMo measure 6 indent 5,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,279.5579974715421
data_146,grad7-CrMo measure 7 indent 1,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,269.37771960302405
data_147,grad7-CrMo measure 7 indent 2,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,270.6565775622626
data_148,grad7-CrMo measure 7 indent 3,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,274.2425997056031
data_149,grad7-CrMo measure 7 indent 4,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,269.00209908187
data_150,grad7-CrMo measure 7 indent 5,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,261.6216907390744
data_151,grad7-CrMo measure 8 indent 1,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,275.0988745271313
data_152,grad7-CrMo measure 8 indent 2,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,261.4180152203671
data_153,grad7-CrMo measure 8 indent 3,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,255.6110879292085
data_154,grad7-CrMo measure 8 indent 4,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,259.555550141416
data_155,grad7-CrMo measure 8 indent 5,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,272.9651849536858
data_156,grad7-CrMo measure 9 indent 1,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,252.91214948363663
data_157,grad7-CrMo measure 9 indent 2,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,259.43864822095696
data_158,grad7-CrMo measure 9 indent 3,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,263.76770790923183
data_159,grad7-CrMo measure 9 indent 4,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,261.60356294603116
data_160,grad7-CrMo measure 9 indent 5,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,247.86095582078096
data_161,grad7-CrMo measure 10 indent 1,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,182.23471045382828
data_162,grad7-CrMo measure 10 indent 2,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,186.65323571792712
data_163,grad7-CrMo measure 10 indent 3,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,178.23757138380196
data_164,grad7-CrMo measure 10 indent 4,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,184.88500230094888
data_165,grad7-CrMo measure 10 indent 5,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,185.49710641552363
data_166,grad7-CrMo measure 11 indent 1,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,191.25296902041782
data_167,grad7-CrMo measure 11 indent 2,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,182.64205629135398
data_168,grad7-CrMo measure 11 indent 3,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,188.6543591453858
data_169,grad7-CrMo measure 11 indent 4,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,181.81681095443747
data_170,grad7-CrMo measure 11 indent 5,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,181.8031563311449
data_171,grad7-CrMo measure 12 indent 1,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,183.08136298774048
data_172,grad7-CrMo measure 12 indent 2,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,179.2004597527501
data_173,grad7-CrMo measure 12 indent 3,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,172.38747346454852
data_174,grad7-CrMo measure 12 indent 4,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,185.33070862934304
data_175,grad7-CrMo measure 12 indent 5,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,186.21542074971097
