,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_1120,grad15-Ti measure 7 indent 5,23.45,0.0,28.32,48.23,0.0,29.85,0.0,37.91,32.24,0.0,203.56319432925517
data_1121,grad15-Ti measure 8 indent 1,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,147.6826194817843
data_1122,grad15-Ti measure 8 indent 2,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,161.2389801742969
data_1123,grad15-Ti measure 8 indent 3,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,171.32267365019925
data_1124,grad15-Ti measure 8 indent 4,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,169.77956303838778
data_1125,grad15-Ti measure 8 indent 5,24.88,0.0,30.25,44.87,0.0,31.0,0.0,39.64,29.36,0.0,168.37417578781447
data_1126,grad15-Ti measure 9 indent 1,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,126.82184498894847
data_1127,grad15-Ti measure 9 indent 2,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,117.99135195561121
data_1128,grad15-Ti measure 9 indent 3,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,127.72264353934513
data_1129,grad15-Ti measure 9 indent 4,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,113.43029696255098
data_1130,grad15-Ti measure 9 indent 5,26.39,0.0,32.0,41.61,0.0,32.22,0.0,41.1,26.68,0.0,121.61907967828449
data_1131,grad15-Ti measure 10 indent 1,27.52,0.0,33.18,39.3,0.0,33.14,0.0,42.01,24.85,0.0,112.17492024503497
data_1132,grad15-Ti measure 10 indent 2,27.52,0.0,33.18,39.3,0.0,33.14,0.0,42.01,24.85,0.0,114.30743663702853
data_1133,grad15-Ti measure 10 indent 3,27.52,0.0,33.18,39.3,0.0,33.14,0.0,42.01,24.85,0.0,118.22356357932058
data_1134,grad15-Ti measure 10 indent 4,27.52,0.0,33.18,39.3,0.0,33.14,0.0,42.01,24.85,0.0,112.74579491416458
data_1136,grad15-Ti measure 11 indent 1,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,121.4539862286215
data_1137,grad15-Ti measure 11 indent 2,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,121.14765734377106
data_1138,grad15-Ti measure 11 indent 3,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,121.53344079875586
data_1139,grad15-Ti measure 11 indent 4,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,117.40247991473083
data_1140,grad15-Ti measure 11 indent 5,29.0,0.0,34.86,36.14,0.0,34.26,0.0,43.32,22.42,0.0,117.94654357822084
data_1141,grad15-ZrMo measure 1 indent 1,29.76,0.0,35.43,34.8,0.0,34.89,0.0,43.69,21.42,0.0,143.04039746932983
data_1142,grad15-ZrMo measure 1 indent 2,29.76,0.0,35.43,34.8,0.0,34.89,0.0,43.69,21.42,0.0,153.38983545864608
data_1144,grad15-ZrMo measure 1 indent 4,29.76,0.0,35.43,34.8,0.0,34.89,0.0,43.69,21.42,0.0,142.75567069862834
data_1145,grad15-ZrMo measure 1 indent 5,29.76,0.0,35.43,34.8,0.0,34.89,0.0,43.69,21.42,0.0,147.9156984149201
data_1147,grad15-ZrMo measure 2 indent 2,31.37,0.0,37.27,31.36,0.0,36.05,0.0,45.04,18.92,0.0,154.15143554423847
data_1148,grad15-ZrMo measure 2 indent 3,31.37,0.0,37.27,31.36,0.0,36.05,0.0,45.04,18.92,0.0,143.40193219831534
data_1149,grad15-ZrMo measure 2 indent 4,31.37,0.0,37.27,31.36,0.0,36.05,0.0,45.04,18.92,0.0,146.87644240374476
data_1150,grad15-ZrMo measure 2 indent 5,31.37,0.0,37.27,31.36,0.0,36.05,0.0,45.04,18.92,0.0,149.01727579010688
data_1151,grad15-ZrMo measure 3 indent 1,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,141.35094091333343
data_1152,grad15-ZrMo measure 3 indent 2,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,144.76295517413368
data_1153,grad15-ZrMo measure 3 indent 3,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,143.70956628058002
data_1154,grad15-ZrMo measure 3 indent 4,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,145.26457946563391
data_1155,grad15-ZrMo measure 3 indent 5,32.71,0.0,38.61,28.69,0.0,37.01,0.0,45.94,17.04,0.0,142.5852136859868
data_1156,grad15-ZrMo measure 4 indent 1,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,150.32731186010878
data_1157,grad15-ZrMo measure 4 indent 2,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,146.17648228053568
data_1158,grad15-ZrMo measure 4 indent 3,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,150.60808636849538
data_1159,grad15-ZrMo measure 4 indent 4,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,145.83266394125377
data_1160,grad15-ZrMo measure 4 indent 5,34.07,0.0,40.01,25.92,0.0,37.96,0.0,46.88,15.16,0.0,144.2178788766434
data_1161,grad15-ZrMo measure 5 indent 1,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,151.58724910125957
data_1162,grad15-ZrMo measure 5 indent 2,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,146.3420531196928
data_1163,grad15-ZrMo measure 5 indent 3,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,147.62452758358924
data_1164,grad15-ZrMo measure 5 indent 4,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,144.1836304908312
data_1165,grad15-ZrMo measure 5 indent 5,35.04,0.0,41.36,23.6,0.0,38.53,0.0,47.84,13.63,0.0,143.81232655606303
data_1166,grad15-ZrMo measure 6 indent 1,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,142.4283816963656
data_1167,grad15-ZrMo measure 6 indent 2,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,146.78745123482435
data_1168,grad15-ZrMo measure 6 indent 3,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,137.8540872253005
data_1169,grad15-ZrMo measure 6 indent 4,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,148.49853638438137
data_1170,grad15-ZrMo measure 6 indent 5,36.53,0.0,42.74,20.74,0.0,39.55,0.0,48.66,11.79,0.0,144.99466363401447
data_1171,grad15-ZrMo measure 7 indent 1,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,141.00060847663588
data_1172,grad15-ZrMo measure 7 indent 2,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,137.48832923799435
data_1173,grad15-ZrMo measure 7 indent 3,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,136.87205038695058
data_1174,grad15-ZrMo measure 7 indent 4,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,142.63658789832525
data_1175,grad15-ZrMo measure 7 indent 5,37.4,0.0,43.91,18.69,0.0,40.04,0.0,49.45,10.51,0.0,140.74174625958952
data_1176,grad15-ZrMo measure 8 indent 1,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,143.47195888771256
data_1177,grad15-ZrMo measure 8 indent 2,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,142.67947862575514
data_1178,grad15-ZrMo measure 8 indent 3,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,141.7956926179618
data_1179,grad15-ZrMo measure 8 indent 4,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,142.60805939607366
data_1180,grad15-ZrMo measure 8 indent 5,38.47,0.0,44.96,16.57,0.0,40.73,0.0,50.06,9.21,0.0,139.84826560989544
data_1181,grad15-ZrMo measure 9 indent 1,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,131.5612925287348
data_1182,grad15-ZrMo measure 9 indent 2,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,135.3775589367512
data_1183,grad15-ZrMo measure 9 indent 3,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,136.9950585459211
data_1184,grad15-ZrMo measure 9 indent 4,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,137.2274405493633
data_1185,grad15-ZrMo measure 9 indent 5,39.54,0.0,46.01,14.45,0.0,41.4,0.0,50.66,7.94,0.0,130.33831597406922
data_1186,grad15-ZrMo measure 10 indent 1,40.36,0.0,47.02,12.62,0.0,41.85,0.0,51.28,6.87,0.0,110.06550301795038
data_1187,grad15-ZrMo measure 10 indent 2,40.36,0.0,47.02,12.62,0.0,41.85,0.0,51.28,6.87,0.0,110.27475196757109
data_1188,grad15-ZrMo measure 10 indent 3,40.36,0.0,47.02,12.62,0.0,41.85,0.0,51.28,6.87,0.0,110.51513375135325
data_1189,grad15-ZrMo measure 10 indent 4,40.36,0.0,47.02,12.62,0.0,41.85,0.0,51.28,6.87,0.0,110.2403134693037
data_1191,grad15-ZrMo measure 11 indent 1,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,79.61289094764687
data_1192,grad15-ZrMo measure 11 indent 2,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,81.25102470104595
data_1193,grad15-ZrMo measure 11 indent 3,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,83.82864442458012
data_1194,grad15-ZrMo measure 11 indent 4,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,81.4610155987319
data_1195,grad15-ZrMo measure 11 indent 5,41.3,0.0,48.06,10.65,0.0,42.39,0.0,51.87,5.74,0.0,84.35541366698712
data_1196,grad16-NbZrCrMo measure 1 indent 1,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,145.3364113061732
data_1197,grad16-NbZrCrMo measure 1 indent 2,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,143.39276651861513
data_1198,grad16-NbZrCrMo measure 1 indent 3,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,141.34718281525804
data_1199,grad16-NbZrCrMo measure 1 indent 4,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,143.73449076107164
data_1200,grad16-NbZrCrMo measure 1 indent 5,15.15,15.1,17.13,30.69,21.92,19.63,19.94,23.35,20.89,16.19,139.26296289251388
data_1201,grad16-NbZrCrMo measure 2 indent 1,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,144.0361265436697
data_1202,grad16-NbZrCrMo measure 2 indent 2,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,140.48864879487869
data_1203,grad16-NbZrCrMo measure 2 indent 3,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,141.4539200814593
data_1204,grad16-NbZrCrMo measure 2 indent 4,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,141.6821212875033
data_1205,grad16-NbZrCrMo measure 2 indent 5,15.7,15.32,17.66,28.69,22.63,20.17,20.05,23.87,19.35,16.57,143.79955079611963
data_1206,grad16-NbZrCrMo measure 3 indent 1,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,146.1862618324063
data_1207,grad16-NbZrCrMo measure 3 indent 2,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,149.97034982411114
data_1208,grad16-NbZrCrMo measure 3 indent 3,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,147.0713057103932
data_1209,grad16-NbZrCrMo measure 3 indent 4,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,146.7854675935775
data_1210,grad16-NbZrCrMo measure 3 indent 5,16.32,16.01,18.66,25.41,23.61,20.65,20.63,24.82,16.88,17.02,141.42545436622092
data_1211,grad16-NbZrCrMo measure 4 indent 1,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,144.27074582630306
data_1212,grad16-NbZrCrMo measure 4 indent 2,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,141.44847499221828
data_1213,grad16-NbZrCrMo measure 4 indent 3,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,144.92700913589186
data_1214,grad16-NbZrCrMo measure 4 indent 4,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,146.17734403020347
data_1215,grad16-NbZrCrMo measure 4 indent 5,16.98,16.59,19.19,22.79,24.45,21.24,21.13,25.24,14.96,17.43,143.02543531365885
data_1216,grad16-NbZrCrMo measure 5 indent 1,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,147.79686324888286
data_1217,grad16-NbZrCrMo measure 5 indent 2,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,144.64593092088847
data_1218,grad16-NbZrCrMo measure 5 indent 3,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,150.15661753284044
data_1219,grad16-NbZrCrMo measure 5 indent 4,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,141.95030854366473
data_1220,grad16-NbZrCrMo measure 5 indent 5,17.51,16.82,19.63,20.74,25.3,21.72,21.26,25.62,13.51,17.89,145.16466036622688
data_1221,grad16-NbZrCrMo measure 6 indent 1,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,145.3568195363281
data_1222,grad16-NbZrCrMo measure 6 indent 2,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,142.4593636909938
data_1223,grad16-NbZrCrMo measure 6 indent 3,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,146.80350229750178
data_1224,grad16-NbZrCrMo measure 6 indent 4,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,145.08931112774843
data_1225,grad16-NbZrCrMo measure 6 indent 5,18.05,17.68,20.14,18.22,25.91,22.12,22.08,25.97,11.73,18.11,149.32944175185446
data_1226,grad16-NbZrCrMo measure 7 indent 1,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,147.62254169412793
data_1227,grad16-NbZrCrMo measure 7 indent 2,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,146.27217713455454
data_1228,grad16-NbZrCrMo measure 7 indent 3,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,138.0412326903218
data_1229,grad16-NbZrCrMo measure 7 indent 4,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,149.10805093936415
data_1230,grad16-NbZrCrMo measure 7 indent 5,18.61,18.01,20.65,16.22,26.51,22.62,22.29,26.39,10.35,18.36,141.17958027149035
data_1231,grad16-NbZrCrMo measure 8 indent 1,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,134.19586375446124
data_1232,grad16-NbZrCrMo measure 8 indent 2,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,143.64898991892176
data_1233,grad16-NbZrCrMo measure 8 indent 3,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,134.9316694076126
data_1234,grad16-NbZrCrMo measure 8 indent 4,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,136.06726622094533
data_1235,grad16-NbZrCrMo measure 8 indent 5,19.06,18.32,21.21,14.19,27.22,22.96,22.48,26.88,8.98,18.7,138.00093288504058
data_1236,grad16-NbZrCrMo measure 9 indent 1,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,137.43212917480488
data_1237,grad16-NbZrCrMo measure 9 indent 2,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,135.92301455407627
data_1238,grad16-NbZrCrMo measure 9 indent 3,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,147.49057864521137
data_1239,grad16-NbZrCrMo measure 9 indent 4,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,138.9734305948997
data_1240,grad16-NbZrCrMo measure 9 indent 5,19.42,18.85,21.74,12.52,27.48,23.19,22.93,27.31,7.85,18.71,140.79784676641458
data_1241,grad16-NbZrCrMo measure 10 indent 1,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,145.8142867668882
data_1242,grad16-NbZrCrMo measure 10 indent 2,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,140.78052831448312
data_1243,grad16-NbZrCrMo measure 10 indent 3,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,137.6328414366531
data_1244,grad16-NbZrCrMo measure 10 indent 4,19.87,19.33,21.98,10.57,28.25,23.56,23.35,27.42,6.58,19.09,140.75271298444645
data_1246,grad16-NbZrCrMo measure 11 indent 1,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,138.39631855799206
data_1247,grad16-NbZrCrMo measure 11 indent 2,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,139.68071017938067
data_1248,grad16-NbZrCrMo measure 11 indent 3,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,140.63293377051383
data_1249,grad16-NbZrCrMo measure 11 indent 4,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,138.61864045633754
data_1250,grad16-NbZrCrMo measure 11 indent 5,20.01,19.8,22.44,9.35,28.41,23.57,23.76,27.81,5.79,19.08,142.7239042018656
data_1251,grad16-NbZrCrMo measure 12 indent 1,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,140.86444954983207
data_1252,grad16-NbZrCrMo measure 12 indent 2,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,142.107071109629
data_1253,grad16-NbZrCrMo measure 12 indent 3,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,144.21333032823247
data_1254,grad16-NbZrCrMo measure 12 indent 4,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,142.29877176709323
data_1255,grad16-NbZrCrMo measure 12 indent 5,20.48,20.13,22.64,7.88,28.87,23.98,24.01,27.89,4.85,19.27,141.396183504935
data_1256,grad16-Ti measure 1 indent 1,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,131.17130104288907
data_1257,grad16-Ti measure 1 indent 2,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,131.75343951147593
data_1258,grad16-Ti measure 1 indent 3,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,127.4306259948168
data_1259,grad16-Ti measure 1 indent 4,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,127.77822105057786
data_1260,grad16-Ti measure 1 indent 5,5.04,5.29,6.18,76.46,7.02,8.26,8.82,10.65,65.73,6.55,130.92522837315155
data_1261,grad16-Ti measure 2 indent 1,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,132.1106629496459
data_1262,grad16-Ti measure 2 indent 2,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,134.00831040474924
data_1263,grad16-Ti measure 2 indent 3,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,126.25383726326123
data_1264,grad16-Ti measure 2 indent 4,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,135.94826214689678
data_1265,grad16-Ti measure 2 indent 5,5.82,6.18,7.21,72.52,8.28,9.31,10.07,12.13,60.94,7.55,137.05449404369477
data_1266,grad16-Ti measure 3 indent 1,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,134.19027353555293
data_1267,grad16-Ti measure 3 indent 2,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,137.75126962689
data_1268,grad16-Ti measure 3 indent 3,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,135.69780652954242
data_1269,grad16-Ti measure 3 indent 4,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,131.8157519536594
data_1270,grad16-Ti measure 3 indent 5,6.73,7.33,8.48,67.78,9.68,10.48,11.63,13.88,55.42,8.59,137.15307185467412
data_1271,grad16-Ti measure 4 indent 1,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,149.39447401506382
data_1272,grad16-Ti measure 4 indent 2,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,137.74699163375746
data_1273,grad16-Ti measure 4 indent 3,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,149.3738404040007
data_1274,grad16-Ti measure 4 indent 4,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,148.1380497053689
data_1275,grad16-Ti measure 4 indent 5,7.68,8.64,9.63,62.81,11.24,11.64,13.34,15.35,49.97,9.7,140.94965670766857
data_1276,grad16-Ti measure 5 indent 1,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,163.2787076883537
data_1277,grad16-Ti measure 5 indent 2,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,151.18394754028844
data_1278,grad16-Ti measure 5 indent 3,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,156.39122317185738
data_1279,grad16-Ti measure 5 indent 4,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,152.3099115040528
data_1280,grad16-Ti measure 5 indent 5,8.44,9.59,10.98,58.41,12.57,12.49,14.45,17.08,45.37,10.6,155.48389794516174
data_1282,grad16-Ti measure 6 indent 2,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,159.37132155401756
data_1283,grad16-Ti measure 6 indent 3,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,157.17260416373588
data_1284,grad16-Ti measure 6 indent 4,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,160.76744199926222
data_1285,grad16-Ti measure 6 indent 5,9.21,10.51,12.02,54.17,14.09,13.34,15.5,18.31,41.21,11.64,160.6996883906186
data_1286,grad16-Ti measure 7 indent 1,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,160.21120252555772
data_1287,grad16-Ti measure 7 indent 2,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,150.9264401611353
data_1288,grad16-Ti measure 7 indent 3,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,172.00897934268488
data_1289,grad16-Ti measure 7 indent 4,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,167.74040446909916
data_1290,grad16-Ti measure 7 indent 5,9.94,11.4,13.1,50.2,15.37,14.11,16.48,19.55,37.42,12.44,157.43777958239224
data_1291,grad16-Ti measure 8 indent 1,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,170.59610407032704
data_1292,grad16-Ti measure 8 indent 2,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,163.4143977416166
data_1293,grad16-Ti measure 8 indent 3,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,166.85198964887024
data_1294,grad16-Ti measure 8 indent 4,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,173.9032257308296
data_1295,grad16-Ti measure 8 indent 5,10.63,11.88,13.96,46.92,16.61,14.86,16.92,20.53,34.45,13.24,154.21361349871387
data_1296,grad16-Ti measure 9 indent 1,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,162.0571328372889
data_1297,grad16-Ti measure 9 indent 2,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,168.72841608813536
data_1298,grad16-Ti measure 9 indent 3,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,161.42350009151937
data_1299,grad16-Ti measure 9 indent 4,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,172.829769417698
data_1300,grad16-Ti measure 9 indent 5,11.26,12.83,14.73,43.42,17.76,15.49,17.97,21.29,31.34,13.91,156.54885416488054
data_1301,grad16-Ti measure 10 indent 1,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,149.8477239197383
data_1302,grad16-Ti measure 10 indent 2,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,144.20294794000517
data_1303,grad16-Ti measure 10 indent 3,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,143.69861816370488
data_1304,grad16-Ti measure 10 indent 4,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,157.26397902598515
data_1305,grad16-Ti measure 10 indent 5,12.09,13.24,15.43,40.51,18.73,16.4,18.28,22.0,28.84,14.48,151.37389686626778
data_1306,grad16-Ti measure 11 indent 1,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,139.8513530275687
data_1307,grad16-Ti measure 11 indent 2,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,133.91646844956688
data_1308,grad16-Ti measure 11 indent 3,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,141.50908477568305
data_1309,grad16-Ti measure 11 indent 4,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,135.06115652155745
data_1310,grad16-Ti measure 11 indent 5,12.61,13.38,15.53,39.14,19.35,17.0,18.38,22.03,27.72,14.87,136.65050826171267
data_1311,grad16-Ti measure 12 indent 1,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,142.98718419679685
data_1312,grad16-Ti measure 12 indent 2,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,139.64231894996908
data_1313,grad16-Ti measure 12 indent 3,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,135.02970870099333
data_1314,grad16-Ti measure 12 indent 4,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,138.5741206178646
data_1315,grad16-Ti measure 12 indent 5,13.25,13.99,16.07,36.12,20.58,17.64,18.97,22.51,25.26,15.62,137.9711814994422
data_1316,grad16-Ti measure 13 indent 1,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,145.8110979334242
data_1317,grad16-Ti measure 13 indent 2,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,141.40465145391727
data_1318,grad16-Ti measure 13 indent 3,14.15,14.58,16.78,32.99,21.51,18.56,19.49,23.15,22.72,16.08,141.5290116589417
