,index,Zr,Nb,Mo,Ti,Cr,RF - Phase prediction from EBSD class,RF - Phase prediction from XRD class,RF - CI prediction,RF - IQ prediction,RF - Young Modulus prediction (GPa),RF - Hardness prediction (GPa),C,x,deltaH,E2/H
1105,compo_24505,2.0,0.0,60.0,28.000000000000004,10.0,1.0,1,0.22470355212354487,56864.48991713565,311.73307541640406,12.161133556078205,1.633438184102499,1.5682855408849377,0.7309572415733521,7990.826665989502
1106,compo_27096,2.0,4.0,90.0,0.0,4.0,1.0,1,0.6963839628947327,93154.43935746033,327.21237179921366,12.160047376953273,1.6776659779643524,1.6035276548162956,0.7403996154731564,8804.89466360064
1107,compo_47921,4.0,2.0,90.0,0.0,4.0,1.0,1,0.6976646747587298,92864.30036079367,316.4591175117821,12.153487258334005,1.6477636255347092,1.5796123235412516,0.7340432686263837,8240.134780053568
1108,compo_1265,0.0,0.0,80.0,10.0,10.0,1.0,1,0.8107526505582017,127407.53294126985,330.54884228032415,12.150613339269054,1.687664649194361,1.6115964578338835,0.7425106810947693,8992.347471031906
1109,compo_25920,2.0,2.0,92.0,0.0,4.0,1.0,1,0.6128200098899712,90403.42985746033,330.2449657532564,12.149238926942642,1.6869384351424248,1.6110078525100957,0.7423589795977955,8976.836990464464
1110,compo_3742,0.0,4.0,72.0,14.000000000000002,10.0,1.0,1,0.6804969253128309,95424.86379666669,309.68282301412927,12.135323140275187,1.6295151041503033,1.5651813794116864,0.7301256816603567,7902.834540244946
1111,compo_69733,6.0,4.0,88.0,0.0,2.0,1.0,1,0.6160638341484127,79015.34137079366,308.799381644126,12.13327368129498,1.6270784436813963,1.5632644748147828,0.7295996345749272,7859.136833845585
1112,compo_3649,0.0,4.0,60.0,26.0,10.0,1.0,1,0.2025572623870177,54147.468975555545,309.76060676163416,12.080707651509659,1.6341767545949666,1.5688210819660693,0.7311667930590975,7942.550740340547
1113,compo_1130,0.0,0.0,62.0,28.000000000000004,10.0,1.0,1,0.16856408355368446,47968.91943737375,311.8398622534607,12.079003921402904,1.640409665196894,1.5737421095233568,0.7325106277519061,8050.6720854647265
1114,compo_24485,2.0,0.0,57.99999999999999,30.0,10.0,1.0,1,0.20602684782698397,56864.48991713565,311.2271894754467,12.07895647767581,1.6386220327914862,1.5723288765215222,0.7321259716247579,8019.100296271909
1115,compo_25710,2.0,2.0,56.00000000000001,30.0,10.0,1.0,1,0.1895586923458729,56038.50165834776,305.9224150446603,12.07512272499685,1.6232724091172297,1.5602430975652082,0.7288110407245096,7750.52363095397
1116,compo_49052,4.0,4.0,90.0,0.0,2.0,1.0,1,0.6976646747587298,93020.96886079367,314.7045944869576,12.058808004393752,1.6503830805928363,1.5816376098870353,0.734663029154175,8212.99930765251
1117,compo_27099,2.0,4.0,92.0,0.0,2.0,1.0,1,0.6128200098899712,90560.09835746033,327.5235122127412,12.056889534171257,1.6868954195211066,1.6109183385712549,0.742406547463722,8897.124813837241
1118,compo_28227,2.0,6.0,90.0,0.0,2.0,1.0,1,0.696724151616955,92919.60554079367,313.57158765105254,12.054511909505315,1.6474478681788816,1.5793039337121626,0.7340370468463177,8156.87448153484
1119,compo_2405,0.0,2.0,60.0,28.000000000000004,10.0,1.0,1,0.16527962283939876,47865.36971737374,311.8025656519297,12.053672492932362,1.6423629445985024,1.575272927822547,0.7329463105674353,8065.661316427098
1120,compo_68652,6.0,2.0,90.0,0.0,2.0,1.0,1,0.6137288643817462,79015.34137079366,317.2363580798487,12.047412147242108,1.6586093940536863,1.5881823105954274,0.7364269907005958,8353.570514378409
1121,compo_47924,4.0,2.0,92.0,0.0,2.0,1.0,1,0.6142820992928574,90269.95936079363,317.01505175430333,12.042739071394653,1.6583547684971025,1.5879763912730782,0.7363756091349607,8345.156566374482
1122,compo_2385,0.0,2.0,57.99999999999999,30.0,10.0,1.0,1,0.1703795102393988,47865.36971737374,311.29667971097234,12.009362210965085,1.6445006406483726,1.5769402773253127,0.7334329252797477,8069.173124830604
1123,compo_24658,2.0,0.0,82.0,4.0,12.0,1.0,1,0.9233207304743392,130620.40042539682,331.7015396301342,12.007095300966322,1.702492031273109,1.6235582200367868,0.7457002690500729,9163.407854699604
1124,compo_25923,2.0,2.0,94.0,0.0,2.0,1.0,1,0.6214157173714528,88145.22623523811,334.43585166953613,11.996897921988642,1.7107949444136188,1.6303365768279745,0.7474329498275601,9323.02163519516
